Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
..9.4...5.......6..24..8...........75....76.8...1..2....5......6...7.1.2....8157.,23,45,17,2,0,0,0,2,2,Expert
.6.....2.7.49.5...3.....7.99....8.35.2.6.............8.......67....935........89.,23,43,29,1,0,0,0,2,2,Expert
..9..21.7..76.9.2..2........48....1.3.67......91...3.6......8.11....7..2..3...46.,27,39,15,0,0,0,0,0,0,Easy
........6263...4...7.2....8..4.....1...4...7.1.....8..6.832.1...9..1...3.3.74.2..,26,44,11,0,0,0,0,0,0,Easy
...9.........41..36......8.8.2.93.1..4........167........3...6.2.84.6..7.....8.21,25,43,13,0,0,0,0,0,0,Easy
.2...4.....6.......3..96.4......5397....4.6....8......9......58.4..39.72..7.....3,24,50,7,2,0,0,0,0,0,Intermediate
........765.4..39.72.9.5.1........2..1....94.....9...3..42.......2.3.46..9.1...5.,26,50,5,0,0,0,0,0,0,Easy
......2....6....4....6.7.1.9....6...7...9.6.32....4.91...9425...54.......2...1.6.,25,33,23,0,0,0,0,0,0,Easy
..5...4.....6......9..2......978.56....5.6.4..63...9...849....7..6..423..3...7...,26,51,4,0,0,0,0,0,0,Easy
5..1...9...1...7.6.68....1..1.79.....2..5.8..6.3....7.256...9..3......6......2.3.,26,48,7,0,0,0,0,0,0,Easy
.79....4....9..5.6.4.5....8.9.7...6...5......1.....3....7..81...13...8...8.....59,24,53,4,0,0,0,0,0,0,Easy
52..6..4....1......86...3....4..........3..2..17.2....6....2..7.4..781....345..82,26,47,6,0,1,2,0,2,0,Expert
...1.9.....2.5....41.862.....8...29.2...4........8.714..569..4......4...68.57....,27,50,4,0,0,0,0,0,0,Easy
.2.....1.6...1.8..49.7.......2.9.....4.......5.98.12..8.5....6......9..8.14....57,25,41,15,0,0,0,0,0,0,Easy
......2.8.37.1..6556....9....8.9...6...6.8....5.27...99.65...7.1.........2...7...,26,81,14,1,0,1,0,5,4,Expert
.......4..9....35.......1...2...1....7.46.5..46..937.1..63..49.24.9.....9..5...7.,27,39,14,2,1,3,0,1,0,Expert
1....82....2...4..3.6.2..5....6....3..4..1........56......3..69.89.5..2.2.34..1..,26,47,13,1,0,1,0,2,2,Expert
5.....68......6..5..9...42.8543....1..3........2.6...3....9.8.......31.29..852...,26,49,17,2,1,1,1,2,2,Expert
...74.....975.8.....5.....8.31..9...7.....3...6..751...4.9.7....164............96,25,48,8,0,0,0,0,0,0,Easy
4..65.9.....8..26.....275...3.....27...3.4....8..9..4...7.6..53......7....39.....,25,32,23,0,0,1,1,1,0,Expert
..4........9.435.7.58.7..92..............5.6.8.....2...957...2.6.2.8..3......67..,25,56,0,0,0,0,0,0,0,Simple
...7.....98.6.1..3.5..........1.9.4....45..81.........7.......6..5...3.8.64..8.15,24,40,25,4,0,1,0,3,2,Expert
.3..2.4.9....6.......................9.2...3.784...9.2...8...6.642..3.171....7...,23,51,7,0,0,0,0,0,0,Easy
.8..691.3....3.8.7.53..729..2.9..5...9..7.6.......6..2....2....5..8.3.....6..5...,27,38,16,0,0,0,0,0,0,Easy
..9.1...2.......7.86..7.....9...52...2.8..7....1.....3.37..29...1......8..6.913..,25,86,25,1,1,1,0,4,6,Expert
.8.......53.8..2..2.6.....7..1...95.8...2...13...5.7..7....91.2.1.2...63......8..,26,42,12,1,0,0,0,1,0,Expert
97....4..4....6.....5....8...4.9.6..26.5...7..19.....51.2......89..6...7......5.2,25,55,5,1,0,3,0,2,2,Expert
.4..7...88...95.6....2...5...2.5.9.......2.......4....5.8.1.6.7...7....517...98.4,26,44,17,1,0,0,0,2,2,Expert
6..75.1..481.2.......8....683.2........5..637..51.68..........3..8......2.....5.1,26,43,12,1,0,0,0,0,0,Intermediate
.6.2.....5..........3...4......9.5...4...5..6.8...7.....832.94...9....876..8...3.,23,42,16,3,0,1,0,0,0,Intermediate
...6...9...541.8..4.......2..9.3..6..1..2....56...81....18...24.......5.........8,23,39,19,0,0,0,0,0,0,Easy
7...8...4..54...3.....1..52.5.1.4..84..5.32...7..2.4....18.....6....2.....4......,25,46,10,0,0,0,0,0,0,Easy
..2.....1..13.....9...4.87.......24.7..8.29......1...32..9.6..7........6..4...13.,24,44,13,0,0,0,0,0,0,Easy
.7...2....2..637.5.63.5824.2....9.8...56..4.........2..4....6.....2.7..3.......5.,26,45,27,2,0,0,1,3,2,Expert
8..6913...3...4.2..9.5......1.4..895..9.8.......2..............6......484.3..5...,24,37,20,0,0,0,0,0,0,Easy
.7.8.29....81.5..41..7.......12..4..73..............5...5..7.2..17......4...3..8.,24,45,15,1,1,0,0,4,2,Expert
..59.4...........71........5.7...3...397....2...4...9.2...1....9..5...7..1623.4.5,25,46,10,0,0,0,0,0,0,Easy
....45...........2....8.9.3.27..84.....37....53...6.78.8...2.....465....2.....6..,24,53,18,1,1,2,0,4,2,Expert
.97..3..1...4....3.5..28....7..31.....2...3..8..7..5.......48.....2.....3148.7...,25,27,29,3,0,0,0,0,0,Intermediate
..14.68....6.3872.7.8.5....4........8......72.67....4.1.43.2...2...8..1.....1..5.,28,102,25,3,0,2,1,15,24,Expert
....6.25....7..8..6........38...5..11.5..86.7.2...45..8...1.43.7...........5.....,24,52,5,0,0,0,0,0,0,Easy
9....5...72..8...9.1.6.....19...8.26.3.51...7.68..2...2..3...7..5..6......19.....,27,52,2,0,0,0,0,0,0,Easy
28............863......6...3....1...852..3..71...6.8...49.32.85....5.....3.4.....,25,58,12,1,0,0,0,3,2,Expert
93.5......82..1..5....438.........5.6...3.....9.6.521.2.....43.......1.2..4.9..8.,26,41,14,1,1,1,0,0,0,Intermediate
...53.1.....7..4.........9..24.......17.8...4.3...1.....9.2...1...34.8.7..3..824.,25,93,11,3,0,0,0,6,8,Expert
..8......4.9....1.......2...8.2...5.1..4....3.24..9.8.....56.98..5.31....1......6,24,45,12,0,0,0,0,0,0,Easy
59.....6........57867.459...79......6.2...379...........4..7....2...38.6.......35,26,53,2,0,0,0,0,0,0,Easy
..9.4.....83.1.......5.........8.2.1..4.....779.........712..835..4.....8...39.4.,24,41,16,0,0,0,0,0,0,Easy
7.1.6...36..........279.........67.24..1.53.6.3...7....5........6..139..2.3......,25,46,10,0,0,0,0,0,0,Easy
.15..6..8..7.....9...3.8.76...1.......1..5......76..3.5.4...9....6..3.1....6.98..,25,40,16,3,0,0,0,0,0,Intermediate
....6......3......67.83....1...286......51892..........8...356......97.121...6..9,26,46,15,1,1,1,0,2,2,Expert
...8.9.518.........93.12....3.......61.4....54.8..5.....25.3....6..2...........68,24,42,15,1,0,1,0,0,0,Intermediate
...15....7......1.........8.39..4857.5..6.4....4...93...87.51......8.7.4...39....,26,40,15,0,0,0,0,0,0,Easy
4..9.1.25.............8.47.69...2.57.87.9..1.1.4..8...........994.....6.5.2....4.,27,51,3,0,0,0,0,0,0,Easy
.9..64..3.78.......1.8..4.9.....8.7..4.7...9.....1.5.........6..67...845.....93.1,26,35,20,0,0,0,0,0,0,Easy
13.......6427.9..1..5....7..14.....9.....4..29........7......36...6.5417..6.3.9..,27,37,15,3,0,1,0,2,0,Expert
4389..5.7....57.84.5.3...9.7.3.......8..6...5..2...94...9..8...........66.5......,26,32,22,0,0,0,0,1,0,Expert
61...5....8...1.63....7...45....34..9.......6..754.....51....9.........843..1....,24,78,28,1,0,0,0,8,10,Expert
......59..7....6..9......7.2..3....9496...8....7...26..65..4.....295..863...7245.,29,48,4,1,0,1,0,0,0,Intermediate
9..8..16.........8.3....527......9...7....3....231..76.9123....2......3.8...6...1,26,29,24,1,0,0,0,2,0,Expert
....976....63.......9.45.7...27..3.13...2.75....91....7..4.1...4......3...1.39...,27,47,7,0,0,0,0,0,0,Easy
.....3..9..2....5.576...........7......29..1..2..3.5.8...982...........6.39..18.2,24,91,22,1,0,3,0,13,22,Expert
17...3....6...5.7.5.21.7.........8.5......7..2..56..3.6.....5....3.2..86.4.8....2,26,35,20,0,0,0,0,0,0,Easy
...2.....7.6..1....8......68..........798.2..2.5.763......2.6...7..5..385.361..7.,27,80,22,2,0,2,0,7,8,Expert
..58..2...7.2.4....6.5....74....1..5.8..3.7..6.1.8...2.52....68........31........,25,45,11,0,0,0,0,0,0,Easy
.3..2....264.....9...6....4..2.6.....1..79...3891.........41..6.9.8..4....1...83.,26,40,12,3,0,2,1,3,0,Expert
..71..52..3.6......8.2..639.9..5.8..5..9....1..6............2......37...1....9.5.,24,37,19,1,0,0,0,1,0,Expert
39.4.......82.369..2....3....4....1.96...4..2.5.8....3......14.486..12.9.......8.,28,53,16,3,0,0,0,2,2,Expert
...1.7..6..95.3...7.3......8.5....3....3..7646........9...51.....79.6.8.5.8......,25,45,11,0,0,0,0,0,0,Easy
57.1....9.9157.8428.........5....1.8...6..4.7....8.....8.2...61....1.....6.8..9..,27,44,16,2,0,0,0,4,2,Expert
....2.4....8..9...6......872...9.....8.5....6956.7....7....5.3...4..37.....6...25,25,40,16,0,0,2,0,0,0,Intermediate
.....4..18...........7.3...........22....184..54..2179..92487....7...9.4....9.31.,27,36,18,0,0,0,0,0,0,Easy
9...8...5..1.........4.5..6......4..614....9..27...6..1.5..2.7...29.1....9..47...,25,31,25,1,0,0,0,0,0,Intermediate
..........45...3...81.5...9...9.5.....3......1...4.5.7.1923...5...4.81..4....9723,27,48,6,0,0,0,0,0,0,Easy
..9..2..6.......514.....3.9...326...2..84......4......18........5..19.8.....5.2..,23,72,20,1,3,4,0,8,4,Expert
1....3...92.1..4.....7..3.....41.53..3..7..2...43.5..757.9.....8.1...............,24,45,11,0,1,0,1,1,0,Expert
...........21.6.97...7....6..6..2....1..4.23....3....1.....3.1.7.34..6892....87..,26,51,30,0,0,1,0,4,4,Expert
...6.1..8.2..5.....6..471...4.....27.1.5...6.5..8..9....6......98...........62...,23,39,19,0,0,0,0,0,0,Easy
4.53......1...........9.2461.9.......4........53.4...27..2..6.39...76..5.2.4...1.,26,47,8,0,0,0,0,0,0,Easy
.....9...82..........64.5.......2..8..7...4.91..9.7.....586.12........4.4...1.8..,23,37,21,0,0,0,0,0,0,Easy
1.6..53..98......65.2.9....6.......9...14..........4.2...8...24.....1..58....2.6.,24,51,21,3,0,0,0,2,2,Expert
.......4.8..412.63.......81..4.21..8.5..376..2.6.8.3.76.....4......4...5.8.....3.,28,42,11,0,0,0,0,0,0,Easy
...53...68..........4..9.254.8..56.....62............77...534......8.5.9...9.473.,26,38,17,3,0,0,0,0,0,Intermediate
..2..4....4.9....8....6.5..8...4..1....8.3..9..1....4....1.2.9..5..3........8.4.3,23,46,27,1,0,2,1,3,2,Expert
.3..8.5...28.1.49.4.92........8....39....7.1..4....8.91..374....................1,24,36,21,1,0,0,0,0,0,Intermediate
2...3.69.1.3.........647......2.....97.....2.....95...3.....9....5...4.3...41..6.,23,41,17,0,0,5,0,0,0,Intermediate
.6.....3..3.7..8.1..854......1.......4..6..2.5.....1..47.21...6......3......7..42,24,40,17,0,0,0,0,0,0,Easy
71....6....96..782.26..3..4.......2...281..6.9.34..8......3........4..........279,26,49,6,3,0,4,0,0,0,Intermediate
....1....9.3.....6...93.2....129.7.......1...2.475....7..5294.....47.........69.3,26,59,9,7,1,1,0,2,2,Expert
.15..6.37.7.3529......1...4...574..9.......6.7..6.3..5..9..12.35...............9.,27,50,4,0,0,0,0,0,0,Easy
..9...5........8.231.......2....3..8.9...1..7...27.6......8.2767.2..5..9.3.......,24,54,13,4,0,0,0,3,2,Expert
.4...9.2...9...3....8..5.....53.....73...6...4...2....58.2...4...27...6..7..8....,23,58,0,0,0,0,0,0,0,Simple
.....6.3...51........57...6..6.12..9.2.....173....9..2.6..235.....6..2..9.......8,25,43,13,0,0,0,0,0,0,Easy
.6.......8.2.....3.3...82.....9.4....9.28......4.56....5..726....9.63.48..35.....,26,45,10,5,0,0,0,0,0,Intermediate
8....6...21.73.86.....1..37..4....2..3.9.....9...67........86...2.....74.49......,25,39,17,0,0,0,0,0,0,Easy
...3.5....75.......3.........8.........78..465...6...9..4...7..69..2...88.759..62,25,56,0,0,0,0,0,0,0,Simple
.....432....7..9.5.2....87.5.7..24.3...397.....25...8....8....2....7.5....5..6.4.,27,42,12,0,0,0,0,0,0,Easy
.68.5.....3.......9....18.4.4.3..1.6...4.....68...........3.6.1.5.2...4...2..85.9,25,54,2,0,0,0,0,0,0,Easy
.4.7...2.9.....36....8.1....2...3.97..9...6....6....387..39.4.........7..6.4.2...,25,42,14,0,0,1,0,0,0,Intermediate
...7.61.9.1683...53.9.2..........2.......137......8.56......91..8...3.6.9...52...,27,51,3,0,0,0,0,0,0,Easy
..6.......5..67..8.....8.9...1.2....3...9.7...8.3....52.8...9...1.......6.9.7.2..,23,33,25,0,0,2,0,0,0,Intermediate
...........2......5...19...3....7..87...2.13.985....4.1.3...2...9.5...14...7..9.5,25,43,13,0,0,0,0,0,0,Easy
..8..7......34...16..2..39.7.......9......2..8..1.2..6.6..............14214....68,24,38,19,0,0,0,0,0,0,Easy
5..8....6..4...1...6..7.2.5...9.85..8...2....2..15..9.7.9....8........5.......6.2,24,39,17,5,0,1,1,1,0,Expert
.....6.......4..2.2....739...368.4....8.3.....1...9..74.....67.3.9....146........,24,50,10,1,0,0,0,2,2,Expert
6...8..4...7..1.2...2.....31.....3.6..8.2..19....4.......2..8.7...3....2..1...69.,24,31,26,0,0,0,0,0,0,Easy
.3....7.....6...42....8...99.2...8..1...6....6.7.4..2....4..17...8.7.3..7.......6,24,54,3,0,0,0,0,0,0,Easy
93...1.6.72..9...38..3...7...47.........492.8.....3..9.6...8.......2.......96...4,25,49,7,0,0,0,0,0,0,Easy
8.....4.....5.8..9.....3....2.9.73..5.7.1...8...4..2..1.........382...15....59.3.,25,42,20,0,0,0,0,5,2,Expert
6.....5..4...5..8..5........278....4.........8..1.2.3.3....58...4.7.12......84.76,25,39,17,0,0,0,0,0,0,Easy
...2......2..957..9.1....3.2.3.5......73.29.....16...5.........5.9..3..6.4.....1.,24,31,26,0,0,0,0,0,0,Easy
....7...137....8......8..45.6.7..1.........3..15.64.....4........2.4165.7.......2,24,47,10,0,0,0,0,0,0,Easy
9.6....587.....9..458...361......145.81..5.3............7.........3..4..8..75.6.9,27,52,5,1,0,0,0,2,2,Expert
.16.....3..........5.....2.69215..7.5...8.6....13...5.....3...67...2..81.2.6..9..,26,54,1,1,0,0,0,0,0,Intermediate
5...9....174..5.....6....2....17....7.......9..9..48.........6..4.8...12..8.2....,22,35,24,0,0,0,0,0,0,Easy
18.2...6.....6.....5....7.8.7.1....2.6...5.....5.....3....9.31...3..6.2..19......,23,48,10,0,0,0,0,0,0,Easy
.....5..2....417........54...9..6.2..7.5....4..632.....6.....5.24...9..7....7..1.,24,55,22,2,1,1,0,2,2,Expert
...16.........9.2.61..3....1......6....358...8.2.......5.2..83...19..5.7.9.7..2..,25,56,0,0,0,0,0,0,0,Simple
7438........413..8....9....9.237..8..6.............71...41....382...6....7....1..,25,52,27,3,0,1,0,4,4,Expert
36...1.5.7....9.2....7...6.5.8.9..3.6.92...15........9..2..5......13.........2.76,26,45,10,0,0,0,0,0,0,Easy
6...9...3527.....8.......65.3........7.3.65.4.5..472.63.....4.7..9.......8...56.9,28,47,16,2,0,1,0,2,2,Expert
7....51.4....3.......7..95....1..5....934..7......7..83...8....41.96..8......3..5,25,52,13,1,1,0,1,2,2,Expert
96.53..1...21...3....469...5...4............2.14.....3..5.....7....7..2163......5,25,53,3,0,0,0,0,0,0,Easy
......2..37....591.8..2..6..5819..3.7.6.3...5....5.9.2..18..6.......98.3........9,28,39,18,3,0,2,0,3,2,Expert
..3.....9..2.5....5............2.84.4....65..6..1.4...3.4....8.8..6......5..8.931,24,30,27,0,0,1,0,0,0,Intermediate
.7.....2353......8.8....6.47..5..23.3...641..2...........7............8141..3.5..,25,44,12,0,2,0,0,0,0,Intermediate
.......8.....7..42.4.86.1.37.62.8..9..4..3..1.2........9.6....4.5..9.6.7.........,25,43,12,1,1,2,2,1,0,Expert
..5.3.1.....8.23....6.5....6...97.2..9721.8.5...6...3........1.5.8........9..1..7,26,69,21,1,0,4,1,6,8,Expert
.138.5..45..91..6......3...651.7..98....5.7....8........9731.5...7...........68..,27,39,14,2,0,0,0,1,0,Expert
1..29.3.....741.....48..9.....1.6...96..7..2.3.1.2..8........69...4.....2......3.,25,46,10,0,0,0,0,0,0,Easy
..6.....8...564.........1....3...5.462........481..96.5.14...9.9...8.........2...,23,39,19,3,1,1,0,0,0,Intermediate
..1.8..3..6..1..4..7...4....4.........5..1..67..4..81.8.......5......1.72..63....,23,47,11,0,0,0,0,0,0,Easy
.....3.946.....87...7...2........6....9....4.8..94.71...8.36.....2..83.6...29....,25,53,3,0,0,0,0,0,0,Easy
..1...48.8.4.619.5.95.7.3.........1.......65..19..48.7......79..5.....48..87....6,29,38,14,0,0,0,0,0,0,Easy
..7..9.3.........4.931....27.4.86....38....2..2...7...3.6.7.........84...7.9.4...,25,60,11,1,0,0,1,2,2,Expert
..6...54.........9.1..9867....97..1..75.869.2......4...5.4...81.6..152...........,27,68,13,3,0,1,0,4,6,Expert
..2..........5....9...1.68....9..14...8......7.41....2..6....575....89.4.....2.68,24,38,18,0,0,0,1,1,0,Expert
...8.7.3.53.4....9...9..2..48.............6......2.4.......89...942.5.7.7....3.5.,24,45,12,0,0,0,0,0,0,Easy
.47..8.5.........11.8..2..4...7....2..182....6..4..5.....5.4.6...3.....7.1....83.,25,63,9,1,1,0,0,2,2,Expert
..7..85.439.........8.2..........8.....21395.....7...19...4..7.....8..2..417....3,25,80,15,1,0,2,1,2,2,Expert
2..9..514.51.....7..........6..28...5......9..48.......1..4.....8..5..21..4..6.8.,24,30,27,0,0,0,0,0,0,Easy
.....4...5.496.1..12......5..........7658.9..8..6.9.7.6.1.......4....21..5......4,25,87,12,4,2,1,0,5,6,Expert
..5.4...9...126...........1..........4..19.8..8...4..6..15...2.5.6..39.....4....3,23,51,7,0,0,0,0,0,0,Easy
6..8..31.7....9.....9..2..6.7....52.5.81......6.9.8..7.....5....3.2.....1.538....,26,50,5,0,0,0,0,0,0,Easy
5.9..61..7.2....4..64.....9...7.9.28........61..4...7....695..1....7..9..........,24,35,22,0,0,0,0,0,0,Easy
..3....2.4.....5.9...91.3.8.19..3.8......6...8....5....648.....5..7.4...38.......,24,42,15,0,0,0,0,0,0,Easy
.74.9.2..92.45.......8.........2.....8.576..3.3.........3.4.8.9.4...5.3..9.....76,26,53,2,0,0,0,0,0,0,Easy
3....2......3....5...4.81..1.36....4.84...9..2.58.1...9..1..34....2.58......9....,26,52,3,0,0,0,0,0,0,Easy
...3.5...4781..3.55.9.8...1...8.6.............6.5419.8.4....79....43....8........,26,50,17,3,2,3,0,2,2,Expert
84......6..78.52....1........4....5....56....2....1.4.5.3.7..2..1.43..........1.8,24,43,14,0,0,0,0,0,0,Easy
..7..6.....83....25214..7...3.7..1.84...8.........52.......75........46.8...5....,24,52,12,2,1,1,0,3,2,Expert
..4...87.728.5...1..56........5..9.........1..9.1.46...5......8..28..4.......2.9.,24,47,10,0,0,0,0,0,0,Easy
....3...1....8..6..2.541..8.......1..3...9..619.4..82......29.....1....55..89....,25,43,13,0,0,0,0,0,0,Easy
...41...2.2.6.7..5......37.......2.9.....1....7.....3475..29..336..7..214.....7..,27,41,13,6,0,0,0,0,0,Intermediate
...1...4.17.9.63..3.5.............3.9.637........84..5561........3.......4..61.8.,25,40,16,0,0,0,0,0,0,Easy
35.27...9...9....5.....8.1.......7....28.5..1......5.4....2..3..3.4.....2.9.1..78,25,53,6,0,0,0,0,2,2,Expert
..2....9.....5.3.8853..............7.2....4....4..893.96..35.7....27......59.6.4.,26,42,13,0,0,0,0,0,0,Easy
.9.3.2.4..6..94....1.......23...5.7.47.........6.4..39....6.5...4.1.9.6.....5...1,26,43,12,0,0,0,0,0,0,Easy
.....2...4938......1..9........1....5..74.21...7..85..7...5......8..3.4..52......,23,45,12,1,0,0,0,1,0,Expert
..781..4....7..6...5.....8....9....38.3.6...1.....5......6..497..8....5.94...7...,24,38,19,0,0,0,0,0,0,Easy
3.......9.7.5.4..8248........27..8.5...6...9....4.8.26.2.......83.2..9..9...7..4.,27,39,14,1,0,2,0,1,0,Expert
.3.1..5...69..3.781...6..39....5.......8......7...2...2....97.6.98..6..5..15.....,26,53,2,0,0,0,0,0,0,Easy
.....12..........99.5...4.......8.....1.2..74..2..51.....87...51.3.59..2.4...38..,25,45,11,0,0,0,0,0,0,Easy
..2....4.....79....8.....2.7.15...84.2.16.9..6...8......7.....2.9.6..75.8......1.,25,37,19,0,0,0,0,0,0,Easy
86.....72.7294.....3.6...84.....2.93............834..7.....3.26.1...6..9.4..1....,27,78,2,0,0,2,1,2,2,Expert
.......4...98.5....28943..7.....4.73....9.......1789..97...........32..1..5....2.,25,44,11,4,0,2,0,1,0,Expert
.31..9.7...4...5......3.4.....54.....1.36........91...8..7..93..9..1.6.7.......5.,24,36,20,6,0,0,0,1,0,Expert
...5..1..62.......4.81..62..723......43..8.................5.3...6.7351..1.6.2..4,26,44,11,0,0,0,0,0,0,Easy
..75.6.3.....2.....5.3.4.9.1.39.5.62........467....9...6..73.4..3...1......24....,27,45,9,0,0,0,0,0,0,Easy
.....5.....24.1..7.7....2143.52.4.8.......4...61.8..2....15...8..6.3...1......6..,26,50,18,0,1,0,0,3,2,Expert
....7.6.8..5.........6...91..4.852....7..4....52.....4...71..624......7.1.....8.9,25,61,21,0,0,3,0,6,6,Expert
.9352...1...9.1..4..4.8..592.98...4...13....5.....5..8......6..3.8......4........,25,36,20,0,0,0,0,0,0,Easy
5.......8.2...53..46..8..9.63.5.......93...1....9..8.4...........18..25.952..4...,26,37,17,2,0,1,2,1,0,Expert
..4....5.5....2..82....9.4....943.........3....615.......21..6..3......1..1.648.2,25,43,13,0,0,0,0,0,0,Easy
.3.82....7...9.85.4......7....5.2.....6.4....95.68.2.....2.4....2...36...9.......,24,48,9,1,0,1,0,0,0,Intermediate
1.......34...719.6..2...54....697.32........5..1..2......539....2....4..5...6....,25,48,8,0,0,0,0,0,0,Easy
..536.27.7..9.4.......1.4..36......9........7..4.2.1..1........6..73.......49....,23,46,12,0,0,0,0,0,0,Easy
..2........9.3...58...5....94......628..9....1..6...5.5....89.1...4.3.2....5..643,26,47,8,0,0,0,0,0,0,Easy
21...6..7..64..5.9.......6.9......751..5..2.3..4.7......29..7.4..........572..3..,26,46,9,0,0,0,0,0,0,Easy
.3...7.48..4835.7......45.1...9....761.......3.......5...5.9..64...7.....98......,25,44,12,2,0,0,0,0,0,Intermediate
.5.4....1.....8.7..3..51.8...3....2...78..43...........721....3..5.728..1.8..9...,26,47,8,2,0,2,0,0,0,Intermediate
4...1762.1.362..8.........1...9.....2.7...8..3...8........7..4.8..2..7...76...1..,25,89,41,1,0,2,0,11,16,Expert
...........8.2.1...5..49.82.2...463.4....3..83..98.........1.....2.5......96..3..,24,38,19,0,0,1,1,0,0,Intermediate
.....5.8.3...42.7..8.31.....2...7.1887.2....31.5...2..75.....2......6.......8...5,26,29,26,1,0,0,0,0,0,Intermediate
.....4......713.9.4..5...6.7......3.6..4..25....392...9.....6...7....9.1....21..3,25,50,6,3,0,0,0,0,0,Intermediate
4.....3.2.71..6..43..5..6.........2.....6...8.....4.3...6..5..1.4..2........718.5,24,48,9,0,0,0,0,0,0,Easy
.5..3...4..392...8....5.63.9.24...8........7..462.....4.9........8....9.32.6..8..,26,27,27,0,1,1,0,1,0,Expert
.........35..6.....172......81.72..5..5.3..8.62......79..8...2......5......9..1.6,24,46,11,0,0,0,0,0,0,Easy
..67.9.4....3.......4...............5.9...41.1..9.6.83....547.8.....3...96.8.....,23,50,8,0,0,0,0,0,0,Easy
....7.9.5.....9.63.5...3..1..........6........716......18.3..4....8.65....64953..,25,49,6,2,1,2,1,1,0,Expert
.6.....3.5.......7.372..58.4...........1.562...63.275..53.......4.......8.....361,26,38,17,4,0,3,0,0,0,Intermediate
...13.5.....9.7..6...2.64.99.16....5.63.....2.....3...6..472...1.5...........1.6.,26,44,11,0,0,0,0,0,0,Easy
.743...5.56.4...93.82.....4............9.2....53..6.......657..........26..24..3.,25,43,13,0,0,0,0,0,0,Easy
......7.5.2..7.863..8.3.......5.....9........3....2.7..5.42.3....96.34..4......26,25,46,10,1,0,0,0,0,0,Intermediate
.8.......4..387...173......6..7.3.........7.1.2...583.8.5.42.....2..8.1....1.....,25,39,17,0,0,0,0,0,0,Easy
...1.5.74....9.185.7......3......5.11.3.....9..693.......45.....3.6..81......7...,25,39,17,0,0,1,0,0,0,Intermediate
..2.....83.....1.....7.3...6..2...9.2..5.7.86..9.18...15.....69..8.....5.7......2,25,53,3,0,0,0,0,0,0,Easy
5........318.5.....2..84...1......8..7..41.3.....6.5...8..76.1.7...1...3.4..23...,26,64,25,1,2,3,0,5,6,Expert
.52....16.6.........8..2...8..5.7..9.......2..956..1....37.......7.5.2.81...9..75,26,40,15,0,0,0,0,0,0,Easy
7..12..8.5.......4......61......6.4...5.......318...6.8.....3.....65..78...31..2.,24,43,23,0,0,0,0,2,2,Expert
9....2.46...36....2..1.4....2.4..9.......5..2.8.2.9351..1..8...4.8.1.5...........,26,48,7,0,0,0,0,0,0,Easy
.........4.....519......6.826..1.....7582....8.45..1.......58277..4...6...81..9..,27,40,13,1,2,2,0,1,0,Expert
.8...6...2...9.45..1..4.92.........36.4.3.8....8.2..143.....2.....9....1.51......,25,38,18,0,0,0,0,0,0,Easy
.1..7...8...1...29..7.845..2...9..6....4..2...4......7.....6.4....2...5.5.9......,23,43,15,1,0,0,0,0,0,Intermediate
.....513...1.4...2..3.8..5......962.........5.2.61...4..9..4......853.....52.....,24,40,17,1,0,0,0,0,0,Intermediate
..864..5.5....98..7.3..5.911..7....635..9........8...........159...1.3.7........8,26,45,20,0,1,0,0,3,2,Expert
..384........1..2.1.8962.4..6.........43...81....9......9...1.76..2.1..3.3..8...2,27,59,25,2,1,1,0,7,6,Expert
.....9..3....5....6..1..5..5.7.1....8.3..61....27...3.....9.78...1..3.26...678...,26,66,4,2,1,0,0,4,2,Expert
23..5.....517.......7..8...16.9.23...7...5......1...87.1......2...3..9...82.17...,26,38,17,0,0,0,0,0,0,Easy
76....2.8..92.73.....................7.65.982...3..6..........56..78...389..617..,26,51,4,0,0,0,0,0,0,Easy
...1...2..1387.4.....94.....9...47.....3...........5839...8.3....74..1.....72..5.,25,40,16,0,0,0,0,0,0,Easy
....9..7..........8.94...52.6....3....8.52...7..3695...7..8..43.....5297.........,25,53,3,0,0,0,0,0,0,Easy
...78.9....7........32.5.....9518..4.4.3..........4....3.1....741...35.27.5..21.9,28,48,12,0,0,1,0,2,2,Expert
62....1..3.....96..592....82..8.95..9............5...6.8..2...1...5....7..67318..,27,39,15,0,0,0,0,0,0,Easy
3.614.......9.2...........247..8.2...8.2...619......37.....7.9.6143..............,24,47,10,1,0,0,0,0,0,Intermediate
.3....6.2...2...47..7.95.8....4......9..823...7....2.5.....3.......2...85...47...,24,50,7,0,0,0,0,0,0,Easy
4.5...................14....7.48...1..6...9.851.6..27...9.726.........1.25.1....7,25,49,7,0,0,0,0,0,0,Easy
..58.........57..99......7.6.....5..5..9..48..1...........42..62..7.895..4.1.....,24,42,15,0,0,0,0,0,0,Easy
85.....7..14....92..2.7..........5...7.321....3...8.....91........5.4.2.1...83...,24,54,3,1,0,0,0,0,0,Intermediate
8....9....9...483....76....2.7......48...2..9...38...7..4.97..16...2.9...3....4..,26,33,22,0,0,0,0,0,0,Easy
..927...8....5.......8.12.......21......8........439.27.5....2.9.4.....18..49.7.5,26,47,8,0,0,0,0,0,0,Easy
